iter	Passed	Remaining
295	568	1352
296	569	1348
297	570	1344
298	571	1340
299	572	1335
300	573	1331
301	574	1327
302	575	1323
303	576	1319
304	577	1316
305	579	1313
306	580	1309
307	581	1305
308	581	1301
309	583	1297
310	584	1294
311	585	1290
312	586	1287
313	587	1283
314	588	1280
315	589	1276
316	590	1272
317	591	1269
318	592	1265
319	593	1261
320	594	1257
321	595	1254
322	597	1251
323	598	1248
324	599	1244
325	600	1242
326	602	1239
327	603	1236
328	604	1233
329	605	1229
330	607	1227
331	608	1223
332	609	1220
333	610	1217
334	611	1214
335	612	1211
336	614	1208
337	615	1204
338	616	1201
339	617	1198
340	618	1195
341	619	1191
342	620	1188
343	621	1185
344	622	1182
345	623	1179
346	625	1176
347	626	1173
348	627	1170
349	628	1167
350	629	1164
351	631	1161
352	632	1159
353	633	1156
354	634	1153
355	635	1150
356	636	1147
357	638	1144
358	639	1141
359	640	1138
360	641	1135
361	642	1132
362	643	1129
363	644	1126
364	645	1123
365	647	1120
366	648	1117
367	648	1114
368	649	1111
369	650	1108
370	652	1105
371	653	1103
372	654	1100
373	655	1097
374	656	1094
375	657	1091
376	659	1089
377	660	1086
378	661	1083
379	662	1080
380	663	1077
381	664	1074
382	665	1071
383	666	1068
384	667	1065
385	668	1062
386	669	1060
387	670	1057
388	671	1054
389	672	1051
390	673	1048
391	674	1045
392	675	1043
393	676	1040
394	677	1037
395	678	1034
396	679	1032
397	680	1029
398	681	1027
399	683	1024
400	684	1022
401	685	1019
402	686	1016
403	687	1014
404	688	1011
405	689	1008
406	690	1006
407	691	1003
408	692	1000
409	693	998
410	694	995
411	695	992
412	696	990
413	697	987
414	699	985
415	700	982
416	700	979
417	701	977
418	703	974
419	703	972
420	705	969
421	706	967
422	706	964
423	707	961
424	708	958
425	709	956
426	710	953
427	711	950
428	712	948
429	713	945
430	714	942
431	715	940
432	715	937
433	716	934
434	717	932
435	718	929
436	719	927
437	720	924
438	721	922
439	722	919
440	723	916
441	724	914
442	725	911
443	725	909
444	726	906
445	727	904
446	728	901
447	729	898
448	730	896
449	731	893
450	732	891
451	733	888
452	734	886
453	734	883
454	735	881
455	736	878
456	737	876
457	738	873
458	739	871
459	740	868
460	741	866
461	741	863
462	742	861
